Graph Order,Clique Order,ISet Order,Graph ID,Graph Bitstring,Duration (s)
8,3,3,-1,/,7.402806053
8,4,4,255574,0000000000111110011001010110,0.74969974
8,5,5,1972,0000000000000000011110110100,0.06809362
8,3,3,-1,/,7.440817904
8,4,4,255574,0000000000111110011001010110,0.74958686
8,5,5,1972,0000000000000000011110110100,0.068632366
8,3,3,-1,/,7.386143399
8,4,4,255574,0000000000111110011001010110,0.750692516
8,5,5,1972,0000000000000000011110110100,0.068562714
8,3,3,-1,/,7.402821203
8,4,4,255574,0000000000111110011001010110,0.757289452
8,5,5,1972,0000000000000000011110110100,0.07005846
8,3,3,-1,/,7.388864766
8,4,4,255574,0000000000111110011001010110,0.740933507
8,5,5,1972,0000000000000000011110110100,0.068385585
9,3,3,-1,/,35.937225728
9,4,4,33150642,000000000001111110011101011010110010,11.753364033
9,5,5,127777,000000000000000000011111001100100001,0.430331663
9,3,3,-1,/,35.745945746
9,4,4,33150642,000000000001111110011101011010110010,11.765712801
9,5,5,127777,000000000000000000011111001100100001,0.436658671
9,3,3,-1,/,35.903255739
9,4,4,33150642,000000000001111110011101011010110010,11.7393283
9,5,5,127777,000000000000000000011111001100100001,0.432260097
9,3,3,-1,/,35.970103319
9,4,4,33150642,000000000001111110011101011010110010,11.676209184
9,5,5,127777,000000000000000000011111001100100001,0.441579015
9,3,3,-1,/,36.52835116
9,4,4,33150642,000000000001111110011101011010110010,11.735911795
9,5,5,127777,000000000000000000011111001100100001,0.430254946
10,3,3,-1,/,166.548933628
10,4,4,76987847440,000000001000111101100110101010101001100010000,42022.483963628
10,5,5,16540167,000000000000000000000111111000110001000000111,6.605431059
10,3,3,-1,/,168.331784392
10,4,4,76987847440,000000001000111101100110101010101001100010000,41916.423691044
10,5,5,16540167,000000000000000000000111111000110001000000111,6.532644415
10,3,3,-1,/,163.565832305
10,4,4,76987847440,000000001000111101100110101010101001100010000,42372.022934446
10,5,5,16540167,000000000000000000000111111000110001000000111,6.652362026
10,3,3,-1,/,164.427769583
