Graph Order,Clique Order,ISet Order,Graph ID,Graph Bitstring,Duration (s)
5,3,3,236,0011101100,0.003444546
5,4,4,7,0000000111,0.001216045
5,5,5,1,0000000001,0.001136602
5,3,3,236,0011101100,0.003323063
5,4,4,7,0000000111,0.001193456
5,5,5,1,0000000001,0.001040966
5,3,3,236,0011101100,0.003264558
5,4,4,7,0000000111,0.001131476
5,5,5,1,0000000001,0.001101158
5,3,3,236,0011101100,0.00316911
5,4,4,7,0000000111,0.001135379
5,5,5,1,0000000001,0.00109442
5,3,3,236,0011101100,0.003171673
5,4,4,7,0000000111,0.001184124
5,5,5,1,0000000001,0.001040061
6,3,3,-1,/,0.114726728
6,4,4,116,000000001110100,0.004741892
6,5,5,7,000000000000111,0.003490884
6,3,3,-1,/,0.117368239
6,4,4,116,000000001110100,0.004804341
6,5,5,7,000000000000111,0.003473214
6,3,3,-1,/,0.114819856
6,4,4,116,000000001110100,0.004738841
6,5,5,7,000000000000111,0.00374659
6,3,3,-1,/,0.114578268
6,4,4,116,000000001110100,0.004910825
6,5,5,7,000000000000111,0.00291162
6,3,3,-1,/,0.113351896
6,4,4,116,000000001110100,0.004749788
6,5,5,7,000000000000111,0.002907183
7,3,3,-1,/,0.569538051
7,4,4,3873,000000000111100100001,0.023480626
7,5,5,63,000000000000000111111,0.009691927
7,3,3,-1,/,0.494732343
7,4,4,3873,000000000111100100001,0.023698359
7,5,5,63,000000000000000111111,0.006658734
7,3,3,-1,/,0.503986825
7,4,4,3873,000000000111100100001,0.023563418
7,5,5,63,000000000000000111111,0.007912277
7,3,3,-1,/,0.499826214
7,4,4,3873,000000000111100100001,0.017379148
7,5,5,63,000000000000000111111,0.00981718
7,3,3,-1,/,0.499988774
7,4,4,3873,000000000111100100001,0.023412938
7,5,5,63,000000000000000111111,0.009672988
