Graph Order,Clique Order,ISet Order,Graph ID,Graph Bitstring,Duration (s)
8,3,3,-1,/,6596.828575098
8,4,4,3214112,0000001100010000101100100000,639.547777702
8,5,5,10248704,0000100111000110001000000000,49.598086606
8,3,3,-1,/,6650.0864902
8,4,4,3214112,0000001100010000101100100000,636.211344257
8,5,5,10248704,0000100111000110001000000000,49.342901059
8,3,3,-1,/,6614.311487178
8,4,4,3214112,0000001100010000101100100000,639.145641021
8,5,5,10248704,0000100111000110001000000000,49.0822368
8,3,3,-1,/,6637.160845092
8,4,4,3214112,0000001100010000101100100000,640.581370827
8,5,5,10248704,0000100111000110001000000000,49.157577904
8,3,3,-1,/,6646.552586893
8,4,4,3214112,0000001100010000101100100000,634.740585039
8,5,5,10248704,0000100111000110001000000000,49.515173362
