Graph Order,Clique Order,ISet Order,Graph ID,Graph Bitstring,Duration (s)
5,3,3,236,0011101100,0.007534908
5,4,4,800,1100100000,0.00096091
5,5,5,512,1000000000,0.000128321
5,3,3,236,0011101100,0.007163822
5,4,4,800,1100100000,0.001011303
5,5,5,512,1000000000,0.000120678
5,3,3,236,0011101100,0.007194781
5,4,4,800,1100100000,0.000920104
5,5,5,512,1000000000,0.000124144
5,3,3,236,0011101100,0.00708334
5,4,4,800,1100100000,0.000904022
5,5,5,512,1000000000,0.000118379
5,3,3,236,0011101100,0.006882813
5,4,4,800,1100100000,0.000987207
5,5,5,512,1000000000,0.000118398
6,3,3,-1,/,0.762518839
6,4,4,2848,000101100100000,0.037869039
6,5,5,25088,110001000000000,0.003177858
6,3,3,-1,/,0.667636512
6,4,4,2848,000101100100000,0.029927246
6,5,5,25088,110001000000000,0.003208573
6,3,3,-1,/,0.664988548
6,4,4,2848,000101100100000,0.038723008
6,5,5,25088,110001000000000,0.003180839
6,3,3,-1,/,0.666858603
6,4,4,2848,000101100100000,0.037923782
6,5,5,25088,110001000000000,0.002024831
6,3,3,-1,/,0.666979179
6,4,4,2848,000101100100000,0.030007341
6,5,5,25088,110001000000000,0.003063394
7,3,3,-1,/,47.207034437
7,4,4,1116960,100010000101100100000,3.163109212
7,5,5,1860096,111000110001000000000,0.225355939
7,3,3,-1,/,47.589216121
7,4,4,1116960,100010000101100100000,3.155633343
7,5,5,1860096,111000110001000000000,0.225654669
7,3,3,-1,/,47.210456591
7,4,4,1116960,100010000101100100000,3.157865946
7,5,5,1860096,111000110001000000000,0.224439792
7,3,3,-1,/,47.316018452
7,4,4,1116960,100010000101100100000,3.141706034
7,5,5,1860096,111000110001000000000,0.221915395
7,3,3,-1,/,47.466727273
7,4,4,1116960,100010000101100100000,3.141771626
7,5,5,1860096,111000110001000000000,0.227243451
