Graph Order,Clique Order,ISet Order,Graph ID,Graph Bitstring,Duration (s)
2,3,3,0,0,1.39e-05
3,3,3,1,001,3.0099e-05
4,3,3,12,001100,0.000288796
5,3,3,236,0011101100,0.000924288
6,3,3,-1,/,0.010970456
7,3,3,-1,/,0.042858837
8,3,3,-1,/,0.163110858
9,3,3,-1,/,0.637462727
10,3,3,-1,/,2.419974214
11,3,3,-1,/,9.461303427
12,3,3,-1,/,35.508626179
2,4,4,0,0,1.38e-05
3,4,4,0,000,2.8099e-05
4,4,4,1,000001,0.000135897
5,4,4,7,0000000111,0.000339494
6,4,4,116,000000001110100,0.002166462
7,4,4,3873,000000000111100100001,0.01188769
8,4,4,255574,0000000000111110011001010110,0.189780949
9,4,4,33150642,000000000001111110011101011010110010,3.057736595
10,4,4,76987847440,000000001000111101100110101010101001100010000,12753.370867427
