Graph Order,Clique Order,ISet Order,Graph ID,Graph Bitstring,Duration (s)
4,5,5,0,000000,0.000395414
5,5,5,1,0000000001,0.001382928
6,5,5,7,000000000000111,0.004624162
7,5,5,63,000000000000000111111,0.014067376
8,5,5,1972,0000000000000000011110110100,0.056890648
9,5,5,127777,000000000000000000011111001100100001,0.411899748
10,5,5,16540167,000000000000000000000111111000110001000000111,6.554955919
11,5,5,4265133246,0000000000000000000000011111110001110001100010010111110,423.223546034
4,5,5,0,000000,0.000395681
5,5,5,1,0000000001,0.001356877
6,5,5,7,000000000000111,0.004704782
7,5,5,63,000000000000000111111,0.014042715
8,5,5,1972,0000000000000000011110110100,0.056446512
9,5,5,127777,000000000000000000011111001100100001,0.41059238
10,5,5,16540167,000000000000000000000111111000110001000000111,6.502965631
11,5,5,4265133246,0000000000000000000000011111110001110001100010010111110,420.580619929
12,5,5,2191447469042,000000000000000000000000011111111000111100011100101010101111110010,17682.104793524
4,5,5,0,000000,0.00038533
5,5,5,1,0000000001,0.001381173
6,5,5,7,000000000000111,0.004621209
7,5,5,63,000000000000000111111,0.014006313
8,5,5,1972,0000000000000000011110110100,0.056410045
9,5,5,127777,000000000000000000011111001100100001,0.405445467
10,5,5,16540167,000000000000000000000111111000110001000000111,6.55843309
11,5,5,4265133246,0000000000000000000000011111110001110001100010010111110,421.721884545
12,5,5,2191447469042,000000000000000000000000011111111000111100011100101010101111110010,17751.526801192
4,5,5,0,000000,0.000394667
5,5,5,1,0000000001,0.001341554
6,5,5,7,000000000000111,0.004677816
7,5,5,63,000000000000000111111,0.014437595
8,5,5,1972,0000000000000000011110110100,0.056731105
9,5,5,127777,000000000000000000011111001100100001,0.407058507
10,5,5,16540167,000000000000000000000111111000110001000000111,6.522414316
11,5,5,4265133246,0000000000000000000000011111110001110001100010010111110,422.13484249
12,5,5,2191447469042,000000000000000000000000011111111000111100011100101010101111110010,17669.251708782
4,5,5,0,000000,0.000390011
5,5,5,1,0000000001,0.001344983
6,5,5,7,000000000000111,0.004565814
7,5,5,63,000000000000000111111,0.014061212
8,5,5,1972,0000000000000000011110110100,0.056527765
9,5,5,127777,000000000000000000011111001100100001,0.407220589
10,5,5,16540167,000000000000000000000111111000110001000000111,6.533244675
11,5,5,4265133246,0000000000000000000000011111110001110001100010010111110,423.446025113
12,5,5,2191447469042,000000000000000000000000011111111000111100011100101010101111110010,17706.217348298
4,5,5,0,000000,0.000408094
5,5,5,1,0000000001,0.001371938
6,5,5,7,000000000000111,0.004671497
7,5,5,63,000000000000000111111,0.0141147
8,5,5,1972,0000000000000000011110110100,0.056906096
9,5,5,127777,000000000000000000011111001100100001,0.406674093
10,5,5,16540167,000000000000000000000111111000110001000000111,6.518970161
11,5,5,4265133246,0000000000000000000000011111110001110001100010010111110,458.702906397
4,5,5,0,000000,0.000384654
5,5,5,1,0000000001,0.001358832
6,5,5,7,000000000000111,0.004601769
7,5,5,63,000000000000000111111,0.014157187
8,5,5,1972,0000000000000000011110110100,0.057202064
9,5,5,127777,000000000000000000011111001100100001,0.410448511
10,5,5,16540167,000000000000000000000111111000110001000000111,6.50749285
11,5,5,4265133246,0000000000000000000000011111110001110001100010010111110,422.124155555
12,5,5,2191447469042,000000000000000000000000011111111000111100011100101010101111110010,17670.167094575
4,5,5,0,000000,0.000388127
5,5,5,1,0000000001,0.001393399
6,5,5,7,000000000000111,0.004578009
7,5,5,63,000000000000000111111,0.014268042
8,5,5,1972,0000000000000000011110110100,0.056608447
9,5,5,127777,000000000000000000011111001100100001,0.406148388
10,5,5,16540167,000000000000000000000111111000110001000000111,6.517008933
11,5,5,4265133246,0000000000000000000000011111110001110001100010010111110,421.528988556
12,5,5,2191447469042,000000000000000000000000011111111000111100011100101010101111110010,17824.371347528
4,5,5,0,000000,0.000417705
5,5,5,1,0000000001,0.001344509
6,5,5,7,000000000000111,0.004599206
7,5,5,63,000000000000000111111,0.014220886
8,5,5,1972,0000000000000000011110110100,0.056801075
9,5,5,127777,000000000000000000011111001100100001,0.409268472
10,5,5,16540167,000000000000000000000111111000110001000000111,6.575192552
11,5,5,4265133246,0000000000000000000000011111110001110001100010010111110,422.328131014
12,5,5,2191447469042,000000000000000000000000011111111000111100011100101010101111110010,17719.787059019
4,5,5,0,000000,0.000386794
5,5,5,1,0000000001,0.001375649
6,5,5,7,000000000000111,0.004638714
7,5,5,63,000000000000000111111,0.014004144
8,5,5,1972,0000000000000000011110110100,0.056762627
9,5,5,127777,000000000000000000011111001100100001,0.406488746
10,5,5,16540167,000000000000000000000111111000110001000000111,6.521167171
11,5,5,4265133246,0000000000000000000000011111110001110001100010010111110,422.270544054
12,5,5,2191447469042,000000000000000000000000011111111000111100011100101010101111110010,17662.596086225
4,5,5,0,000000,0.000391117
5,5,5,1,0000000001,0.001378463
6,5,5,7,000000000000111,0.004584823
7,5,5,63,000000000000000111111,0.014444894
8,5,5,1972,0000000000000000011110110100,0.056494455
9,5,5,127777,000000000000000000011111001100100001,0.408712714
10,5,5,16540167,000000000000000000000111111000110001000000111,6.569141026
11,5,5,4265133246,0000000000000000000000011111110001110001100010010111110,426.105311092
12,5,5,2191447469042,000000000000000000000000011111111000111100011100101010101111110010,17820.553663041
4,5,5,0,000000,0.00038893
5,5,5,1,0000000001,0.001365096
6,5,5,7,000000000000111,0.004614217
7,5,5,63,000000000000000111111,0.014122643
8,5,5,1972,0000000000000000011110110100,0.056777626
9,5,5,127777,000000000000000000011111001100100001,0.407681456
10,5,5,16540167,000000000000000000000111111000110001000000111,6.544914915
11,5,5,4265133246,0000000000000000000000011111110001110001100010010111110,421.209809205
12,5,5,2191447469042,000000000000000000000000011111111000111100011100101010101111110010,17645.758945626
