Graph Order,Clique Order,ISet Order,Graph ID,Graph Bitstring,Duration (s)
8,3,3,-1,/,0.289542983
8,4,4,255574,0000000000111110011001010110,0.255418533
8,5,5,1972,0000000000000000011110110100,0.026003842
8,3,3,-1,/,0.230270783
8,4,4,255574,0000000000111110011001010110,0.260657303
8,5,5,1972,0000000000000000011110110100,0.025901825
8,3,3,-1,/,0.230757681
8,4,4,255574,0000000000111110011001010110,0.259980489
8,5,5,1972,0000000000000000011110110100,0.026385649
8,3,3,-1,/,0.232837818
8,4,4,255574,0000000000111110011001010110,0.254068375
8,5,5,1972,0000000000000000011110110100,0.026254498
8,3,3,-1,/,0.232290114
8,4,4,255574,0000000000111110011001010110,0.261845873
8,5,5,1972,0000000000000000011110110100,0.026515681
9,3,3,-1,/,0.902059906
9,4,4,33150642,000000000001111110011101011010110010,3.998366761
9,5,5,127777,000000000000000000011111001100100001,0.14012995
9,3,3,-1,/,0.895799916
9,4,4,33150642,000000000001111110011101011010110010,3.997444007
9,5,5,127777,000000000000000000011111001100100001,0.148256876
9,3,3,-1,/,0.92231933
9,4,4,33150642,000000000001111110011101011010110010,4.030191445
9,5,5,127777,000000000000000000011111001100100001,0.147584455
9,3,3,-1,/,0.900643661
9,4,4,33150642,000000000001111110011101011010110010,4.027483124
9,5,5,127777,000000000000000000011111001100100001,0.14836314
9,3,3,-1,/,0.892897469
9,4,4,33150642,000000000001111110011101011010110010,4.008107645
9,5,5,127777,000000000000000000011111001100100001,0.147452951
10,3,3,-1,/,3.455091624
10,4,4,76987847440,000000001000111101100110101010101001100010000,14447.80528217
10,5,5,16540167,000000000000000000000111111000110001000000111,2.263550757
10,3,3,-1,/,3.449036852
10,4,4,76987847440,000000001000111101100110101010101001100010000,14390.207523202
10,5,5,16540167,000000000000000000000111111000110001000000111,2.23470264
10,3,3,-1,/,3.450569763
10,4,4,76987847440,000000001000111101100110101010101001100010000,14506.574749465
10,5,5,16540167,000000000000000000000111111000110001000000111,2.247429008
10,3,3,-1,/,3.473589129
10,4,4,76987847440,000000001000111101100110101010101001100010000,14463.809641857
10,5,5,16540167,000000000000000000000111111000110001000000111,2.2479669
10,3,3,-1,/,3.455840859
10,4,4,76987847440,000000001000111101100110101010101001100010000,14363.014412307
10,5,5,16540167,000000000000000000000111111000110001000000111,2.227728566
