Graph Order,Clique Order,ISet Order,Graph ID,Graph Bitstring,Duration (s)
5,3,3,236,0011101100,0.002238993
5,4,4,7,0000000111,0.000866428
5,5,5,1,0000000001,0.000696846
5,3,3,236,0011101100,0.002035063
5,4,4,7,0000000111,0.00079639
5,5,5,1,0000000001,0.000697415
5,3,3,236,0011101100,0.00209061
5,4,4,7,0000000111,0.000785446
5,5,5,1,0000000001,0.000702613
5,3,3,236,0011101100,0.002128842
5,4,4,7,0000000111,0.000819764
5,5,5,1,0000000001,0.000698565
5,3,3,236,0011101100,0.002076877
5,4,4,7,0000000111,0.000758999
5,5,5,1,0000000001,0.000693572
6,3,3,-1,/,0.020124758
6,4,4,116,000000001110100,0.003698333
6,5,5,7,000000000000111,0.002016502
6,3,3,-1,/,0.019950565
6,4,4,116,000000001110100,0.003665135
6,5,5,7,000000000000111,0.002086336
6,3,3,-1,/,0.019624038
6,4,4,116,000000001110100,0.003676982
6,5,5,7,000000000000111,0.002030536
6,3,3,-1,/,0.01868601
6,4,4,116,000000001110100,0.003124838
6,5,5,7,000000000000111,0.002509651
6,3,3,-1,/,0.018414176
6,4,4,116,000000001110100,0.003136672
6,5,5,7,000000000000111,0.002040686
7,3,3,-1,/,0.07781175
7,4,4,3873,000000000111100100001,0.021792484
7,5,5,63,000000000000000111111,0.007476392
7,3,3,-1,/,0.075271531
7,4,4,3873,000000000111100100001,0.021609796
7,5,5,63,000000000000000111111,0.006192395
7,3,3,-1,/,0.075701924
7,4,4,3873,000000000111100100001,0.020035047
7,5,5,63,000000000000000111111,0.007168416
7,3,3,-1,/,0.075188347
7,4,4,3873,000000000111100100001,0.020043056
7,5,5,63,000000000000000111111,0.007289904
7,3,3,-1,/,0.076542864
7,4,4,3873,000000000111100100001,0.021527936
7,5,5,63,000000000000000111111,0.006217071
